,"Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$"
"Croatia","194.5","183.0","170.0","166.3","125.4","188.7","194.4","223.1","224.5","232.9","178.9","161.9","141.5","173.0","143.3","146.1","120.4","112.4"
"Cuba","260.6","253.3","302.4","257.8","270.4","245.2","232.3","185.7","176.1","173.4","179.4","183.6","158.4","146.4","153.6","137.6","119.3","88.7"
"Cyprus","1084.6","1038.5","953.9","915.8","906.5","942.0","948.8","865.1","1109.2","1091.0","869.2","799.1","757.7","703.9","655.5","702.1","678.2","635.0"
"Czechia","407.8","378.9","362.1","348.1","323.3","312.3","302.1","292.7","303.5","286.8","215.2","171.8","155.6","142.2","132.0","112.7","109.8","94.2"
"Democratic Republic of the Congo","15.0","14.2","12.9","12.8","10.8","9.6","8.6","9.2","12.7","15.3","16.2","16.6","15.4","15.6","11.9","8.2","8.4","3.6"
"Denmark","757.0","710.3","689.0","673.1","657.7","651.0","657.2","640.7","590.5","556.1","530.6","497.6","457.3","441.4","399.6","393.3","376.8","357.4"
"Djibouti","31.1","30.6","29.9","29.6","29.4","30.2","31.1","31.4","33.0","33.6","39.0","39.5","38.0","37.0","38.1","38.4","37.6","36.1"
"Dominica","203.3","167.5","174.8","202.6","192.1","209.1","198.9","199.8","207.0","221.6","186.8","159.0","154.1","144.2","137.7","127.4","127.4","114.6"
"Dominican Republic","441.0","414.7","366.8","332.4","300.3","295.5","272.5","267.2","219.5","206.9","194.1","194.6","188.2","192.4","187.8","186.7","178.4","175.6"
"Ecuador","377.8","378.4","432.5","416.9","401.1","389.2","354.7","310.0","291.0","270.5","263.3","281.9","269.3","242.9","221.3","178.2","140.1","124.0"
"Egypt","368.8","352.8","342.1","289.2","290.0","287.1","272.3","264.1","257.5","259.5","234.8","237.1","238.1","221.9","230.3","229.4","220.6","189.4"
"El Salvador","170.1","163.8","161.1","158.2","153.5","164.2","162.2","166.5","167.0","161.9","159.2","147.2","190.3","195.4","198.4","203.5","205.2","206.8"
"Equatorial Guinea","582.8","613.9","661.7","544.4","456.4","223.3","343.5","397.7","399.3","539.3","372.6","323.5","325.5","451.7","449.3","372.6","285.9","175.3"
"Eritrea","35.0","31.7","28.6","26.3","25.9","25.3","24.1","25.3","26.0","23.4","26.5","26.4","27.1","26.9","30.8","34.6","36.8","37.9"
"Estonia","509.6","456.7","425.2","400.4","372.9","325.7","307.5","299.2","272.5","269.9","249.8","212.6","189.8","166.1","130.4","112.4","94.6","98.8"
"Eswatini","63.0","61.3","62.4","64.3","64.6","63.9","65.0","64.2","62.4","64.4","65.8","62.8","58.7","55.3","50.4","46.4","43.4","39.5"
"Ethiopia","22.9","22.5","23.0","23.4","23.8","24.0","24.2","24.3","18.3","14.6","14.9","12.5","8.4","8.7","8.6","9.3","8.6","7.7"
"Fiji","50.3","65.2","67.9","63.1","63.6","67.4","64.5","59.6","65.7","40.4","40.1","35.9","28.2","29.2","24.5","22.9","22.8","21.3"
"Finland","860.7","844.0","810.0","745.2","692.8","706.5","704.6","686.2","650.8","631.3","584.2","541.6","527.9","507.8","475.5","460.9","437.9","423.2"
"France","470.3","462.5","455.1","458.3","451.5","433.2","431.1","414.7","400.0","370.8","336.9","317.1","231.1","215.3","210.6","205.3","197.0","183.0"
"Gabon","125.7","126.8","123.8","125.6","139.0","111.7","112.7","95.0","280.9","213.2","243.9","230.4","225.9","241.5","255.3","255.3","229.9","231.6"
"Gambia","12.3","11.5","12.1","13.7","13.5","20.5","20.1","19.4","18.8","18.4","17.0","15.7","13.9","12.2","13.9","15.4","14.9","15.7"
"Georgia","423.5","443.7","412.3","480.5","463.3","459.9","431.0","424.8","380.6","330.1","312.9","280.7","268.4","234.7","211.6","175.3","147.3","144.6"
"Germany","750.6","717.4","695.0","667.1","657.5","663.7","643.9","605.4","573.6","544.3","524.2","501.8","460.5","441.8","396.5","373.4","345.7","330.0"
"Ghana","59.2","54.7","67.6","74.7","71.0","81.3","76.7","61.3","59.1","61.9","55.6","52.9","79.3","72.7","67.4","66.4","65.4","62.3"
"Greece","797.6","781.1","790.1","779.2","737.2","674.4","734.2","757.1","843.6","878.6","842.8","850.1","809.1","803.3","","","",""
"Grenada","377.9","327.8","337.2","302.1","362.3","359.1","353.5","335.7","323.6","346.0","329.0","282.0","264.7","230.2","253.2","252.3","241.3","243.0"
"Guatemala","257.1","254.5","255.4","248.1","256.6","246.6","239.2","238.4","234.5","240.6","247.8","240.2","222.1","210.0","206.7","199.7","196.2","143.9"
"Guinea","50.5","54.4","53.8","51.2","38.0","36.3","37.0","30.4","29.5","29.6","30.5","25.9","38.5","32.3","30.2","31.4","28.8","27.7"
"Guinea-Bissau","88.8","91.9","92.4","87.4","70.0","52.1","34.1","38.9","38.3","37.8","34.8","34.5","31.4","29.3","26.0","26.5","28.1","29.5"
"Guyana","131.5","120.7","135.7","139.6","135.4","127.2","121.4","114.1","103.8","106.6","95.5","84.6","117.2","108.4","102.3","103.9","100.7","95.1"
"Haiti","58.8","53.2","51.7","42.2","44.3","44.4","41.7","39.9","37.8","35.4","35.7","34.2","35.2","36.6","38.2","39.4","41.0","42.1"
"Honduras","192.3","183.2","174.9","172.3","180.9","182.0","162.9","157.0","152.6","173.5","151.8","138.6","121.1","105.6","96.1","89.9","84.1","76.0"
"Hungary","532.3","530.1","504.4","512.9","503.3","506.3","485.9","443.8","392.9","395.6","370.9","357.6","352.1","325.9","331.0","284.7","260.0","219.6"
"Iceland","778.1","727.3","701.8","678.3","656.2","628.6","612.9","609.7","622.4","606.1","581.8","581.0","590.8","589.6","555.6","577.5","549.6","518.1"
"India","158.1","147.3","142.7","138.0","136.3","103.2","93.6","95.1","95.5","93.5","92.2","88.6","85.9","81.1","76.2","74.5","73.0","63.4"
"Indonesia","127.3","136.2","137.0","140.1","146.0","145.5","148.7","139.4","107.8","103.0","106.8","99.1","92.6","59.8","59.7","50.3","44.9","41.9"
"Iran (Islamic Republic of)","730.1","723.9","545.8","510.0","515.3","613.2","688.0","698.8","605.3","484.5","440.1","407.0","420.0","385.8","348.4","298.8","328.9","300.4"
"Iraq","","","378.3","271.1","259.7","247.6","93.0","105.1","100.4","76.7","103.6","87.3","85.0","103.1","99.2","","",""
"Ireland","680.9","673.0","673.5","696.3","706.5","688.1","669.3","628.8","556.1","481.6","427.9","469.8","424.1","344.9","336.7","248.0","223.7","217.5"
"Israel","670.8","640.3","588.3","582.7","564.3","542.3","519.5","495.1","508.8","499.0","523.4","476.7","561.5","535.9","509.4","528.6","573.7","523.0"
"Italy","850.1","794.4","765.3","719.6","710.4","705.3","707.5","645.1","641.2","648.7","599.3","583.9","543.8","552.3","543.6","546.1","531.3","542.4"
"Jamaica","93.5","91.0","92.3","94.2","80.4","86.8","93.5","97.4","93.3","139.3","135.6","96.2","99.2","95.8","102.0","85.0","128.1","105.1"
"Japan","586.3","568.8","565.6","542.4","530.6","517.4","495.8","465.0","454.0","433.1","420.7","422.4","384.4","384.1","370.7","335.1","317.7","303.8"
"Jordan","230.2","198.1","204.4","141.1","147.7","157.6","160.6","170.1","203.6","260.9","267.6","265.3","278.2","265.9","255.2","243.9","230.7","216.0"
"Kazakhstan","271.9","305.7","242.3","174.5","208.5","190.5","149.3","148.1","146.6","135.3","154.0","165.8","186.5","202.6","184.4","166.8","134.3","157.3"
"Kenya","38.0","39.6","42.5","46.4","49.3","47.1","46.0","44.8","43.1","45.4","48.4","47.7","53.0","49.4","46.4","42.8","43.6","41.1"
"Kiribati","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Kuwait","479.0","467.6","422.2","304.0","276.9","276.0","253.3","282.8","359.0","343.0","375.3","341.6","359.7","383.7","388.2","384.3","347.5","311.3"
"Kyrgyzstan","136.0","133.8","136.9","140.8","123.8","107.9","90.5","82.2","73.7","86.1","73.9","73.5","68.1","60.6","57.1","41.9","39.7","37.3"
"Lao People's Democratic Republic","82.2","71.9","68.4","67.2","62.0","49.3","47.1","45.6","39.2","34.0","41.1","41.6","45.1","47.8","64.5","45.4","42.0","39.1"
"Latvia","706.4","694.3","569.9","506.9","468.5","433.5","375.2","397.1","398.7","405.1","409.6","320.3","336.7","307.3","292.5","275.1","253.3","207.0"
"Lebanon","393.8","370.8","361.6","386.1","375.2","401.0","513.8","522.8","476.1","489.8","476.9","439.2","394.1","419.9","452.9","505.7","582.3","616.6"
