country,Computed tomography,Magnetic resonance imaging,Positron emission tomography,Gamma camera or nuclear medicine,Linear accelerator,Telecobalt unit,Radiotherapy,Registered Labs,Labs with clinical tests,Labs with research tests,Male,Female
Costa Rica,5.13,0.82,0.21,1.23,1.23,1.03,2.26,,,,164.7,121.3
C̫te d'Ivoire,0.69,0.15,0.0,0.0,0.0,0.0,0.0,,,,,
Croatia,14.92,7.23,0.47,6.06,2.33,0.7,3.03,,,,297.2,151.8
Cuba,4.79,0.8,,1.24,0.36,0.8,1.15,,,,208.3,138.2
Cyprus,25.41,14.02,0.0,8.76,2.63,0.0,2.63,2.0,1.0,,192.2,107.8
Czech Republic,12.99,4.86,0.56,11.31,3.46,1.4,4.86,5.0,3.0,,,
Democratic People's Republic of Korea,,,,,0.04,0.12,0.16,,,,245.2,159.1
Democratic Republic of the Congo,0.07,0.0,0.0,0.01,0.01,0.0,0.01,,,,160.8,132.1
Denmark,23.85,13.7,5.87,14.77,9.61,0.0,9.61,6.0,5.0,,212.4,162.4
Djibouti,,,,,,,,,,,110.6,128.9
Dominica,13.89,0.0,0.0,0.0,0.0,0.0,0.0,,,,No data,No data
Dominican Republic,,,,,0.96,0.29,1.25,,,,170.9,127.5
Ecuador,1.59,0.13,0.13,0.13,,0.13,0.13,,,,129.4,123.9
Egypt,,,,,0.52,0.27,0.79,1.0,,,189,130.2
El Salvador,4.73,1.1,0.0,0.95,0.32,0.79,1.1,,,,139.9,144.5
Equatorial Guinea,,,,,,,,,,,111.5,105.9
Eritrea,0.32,0.16,0.0,0.0,0.0,0.0,0.0,,,,109.3,157.5
Estonia,15.54,8.55,0.78,2.33,2.33,,2.33,1.0,1.0,,285.6,137.8
Ethiopia,0.36,0.07,0.0,0.01,0.0,0.02,0.02,,,,98,150.7
Fiji,3.4,1.13,0.0,0.0,0.0,0.0,0.0,,,,109.7,113.2
Finland,20.09,15.85,1.47,8.29,7.37,0.0,7.37,3.0,3.0,,162.1,111.5
France,,10.13,,,7.4,0.11,7.51,7.0,2.0,,219.3,126.1
Gabon,3.59,1.2,0.0,0.0,0.0,0.6,0.6,,,,88.6,75.1
Gambia,1.08,0.54,0.0,0.0,0.0,0.0,0.0,,,,108.9,89
Georgia,8.75,0.0,0.0,0.69,0.69,0.69,1.38,,,,199.9,120.4
Germany,,,,,6.21,0.23,6.44,33.0,22.0,2.0,198.9,131
Ghana,0.15,0.08,,0.08,,0.08,0.08,,,,126.4,96.1
Greece,33.16,22.02,0.45,14.38,3.5,0.81,4.31,2.0,2.0,,221.3,115.8
Grenada,18.89,9.44,0.0,0.0,0.0,0.0,0.0,,,,261.9,169.1
Guatemala,,,,,0.45,0.19,0.65,,,,104.6,104.9
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,143.8,106.6
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,137.4,116.4
Guyana,3.75,1.25,,,1.25,,1.25,,,,127.1,137.5
Haiti,0.29,,,,,,,,,,150.2,124.8
Honduras,2.1,1.11,0.0,0.12,0.25,0.49,0.74,,,,132.1,126.3
Hungary,6.63,1.41,0.6,10.25,1.1,0.7,1.81,2.0,2.0,,322.9,178.9
Iceland,39.45,21.24,0.0,12.14,6.07,0.0,6.07,,,,167.5,149.1
India,,,,,0.15,0.26,0.41,22.0,9.0,2.0,107.2,95.3
Indonesia,,,,,0.08,0.06,0.15,,,,181,126.4
Iran (Islamic Republic of),,,,,0.54,0.31,0.85,,,,153.2,111.9
Iraq,2.22,1.63,0.0,0.15,0.12,0.06,0.18,,,,180.3,138.6
Ireland,4.54,1.95,0.43,3.03,3.67,0.22,3.89,,,,187.3,149
Israel,7.5,1.29,0.78,10.35,3.23,0.13,3.36,5.0,3.0,,174.3,127.9
Italy,,,,,6.16,0.25,6.41,8.0,5.0,1.0,191.7,120.5
Jamaica,1.44,1.44,0.0,,,1.08,1.08,,,,193.5,123.3
