,"Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Lao People's Democratic Republic","62.1","55.2","53.0","46.4","44.1","33.0","27.5","35.0","36.2","27.2","25.2","19.6","17.7","16.6","18.0","13.2","14.8","14.4"
"Latvia","930.4","874.2","775.6","855.6","807.1","745.5","764.6","689.1","744.7","913.5","807.0","552.3","440.8","393.3","280.5","237.3","205.0","181.6"
"Lebanon","719.4","667.3","655.8","676.3","673.3","713.6","711.6","659.4","593.0","553.7","520.1","470.1","407.0","438.1","456.5","496.3","545.8","569.6"
"Lesotho","104.6","84.2","98.1","108.3","111.9","112.9","121.4","92.6","79.4","68.2","65.4","49.2","41.7","42.0","33.1","23.8","28.2","28.5"
"Liberia","56.6","69.6","72.3","64.8","58.6","55.9","54.4","44.5","43.7","34.7","36.3","24.5","25.8","21.9","7.5","8.3","9.9","12.2"
"Libya","","","","","","","312.6","400.9","355.9","321.5","275.7","235.0","212.3","202.0","189.8","181.1","254.0","244.8"
"Lithuania","1078.2","988.5","920.2","1021.2","958.9","896.9","925.5","805.2","864.7","936.5","704.3","536.1","438.9","367.0","338.9","254.4","218.8","217.2"
"Luxembourg","5782.6","5595.6","5567.4","6681.0","6522.0","7096.9","7164.7","7452.2","7639.9","7548.2","6662.4","6065.3","5815.8","5600.3","4597.1","3583.9","3106.5","2894.0"
"Madagascar","24.7","24.5","22.9","23.0","19.5","19.6","23.6","22.0","20.8","22.2","19.7","17.2","16.5","15.0","17.5","15.1","15.5","12.9"
"Malawi","32.3","29.4","34.0","34.4","38.5","31.8","38.4","33.2","34.8","32.1","24.5","20.6","17.0","15.7","12.2","11.0","7.6","8.9"
"Malaysia","384.1","361.5","376.1","422.0","388.7","382.3","352.6","292.9","251.4","270.9","234.4","203.9","164.3","155.3","143.0","121.9","114.7","111.4"
"Maldives","1006.9","1052.5","853.5","716.2","674.6","648.1","585.9","602.7","667.7","755.2","461.7","387.3","322.1","295.8","236.0","247.2","229.6","221.1"
"Mali","31.4","29.4","30.8","37.9","31.9","28.6","32.9","32.6","35.5","34.0","30.5","27.7","24.7","23.3","20.3","16.7","15.9","15.0"
"Malta","2585.6","2328.2","2249.9","2462.5","2121.1","1898.6","1960.1","1733.7","1677.4","1751.2","1596.1","1474.5","1379.7","1223.9","1074.1","830.6","686.0","647.1"
"Marshall Islands","642.2","666.5","600.8","521.9","538.6","514.7","494.6","488.6","475.7","501.6","517.3","606.1","581.3","445.8","364.7","367.1","385.4","423.4"
"Mauritania","48.8","44.9","54.7","56.5","52.8","46.7","45.0","41.1","41.8","46.1","37.7","32.9","31.9","29.7","28.0","24.8","22.4","22.2"
"Mauritius","599.7","553.1","529.2","559.5","452.5","398.2","396.6","367.1","310.1","321.8","235.8","209.1","197.7","189.9","162.0","135.9","119.5","119.0"
"Mexico","494.7","474.6","539.0","595.8","617.9","580.7","565.1","538.7","477.6","556.5","542.8","501.0","472.1","435.3","401.5","375.2","353.9","309.6"
"Micronesia (Federated States of)","424.8","397.2","378.0","360.9","371.0","387.9","393.6","375.7","338.1","301.9","270.5","257.1","417.5","270.8","219.5","178.6","190.1","168.4"
"Monaco","2932.4","2938.5","3314.2","3863.6","3710.3","3396.7","3533.0","3369.2","3397.1","3475.7","2988.3","2689.5","2632.1","2584.7","2229.5","1569.2","1436.0","1410.9"
