,"Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Croatia","6.8","6.8","6.8","6.7","6.5","7.8","7.8","8.1","8.2","7.7","7.5","7.0","6.9","6.6","6.4","6.2","7.2","7.7"
"Cuba","11.7","12.2","12.8","12.1","10.4","9.3","11.3","10.7","12.3","11.3","11.0","8.3","8.8","6.8","7.1","7.1","7.0","6.6"
"Cyprus","6.7","6.8","6.8","6.8","6.9","6.7","6.6","6.3","6.5","6.0","5.4","5.5","5.4","5.4","5.6","5.6","5.3","5.3"
"Czechia","7.2","7.1","7.2","7.7","7.8","7.0","7.0","6.9","7.3","6.4","6.0","6.2","6.4","6.4","6.6","6.2","5.9","5.7"
"Democratic Republic of the Congo","4.0","3.9","3.9","4.0","3.6","3.6","3.4","4.0","4.6","5.1","4.4","4.5","4.3","4.4","3.8","2.7","2.7","1.6"
"Denmark","10.1","10.2","10.2","10.2","10.2","10.2","10.2","10.3","10.7","9.5","9.3","9.2","9.1","9.0","8.9","8.7","8.4","8.1"
"Djibouti","3.3","3.7","4.4","4.1","4.1","4.6","4.7","4.3","4.5","4.5","4.8","4.9","4.5","4.7","5.6","5.0","3.9","4.1"
"Dominica","5.9","5.2","5.4","5.5","5.3","5.8","5.3","5.6","5.6","5.5","5.4","5.2","5.2","5.1","5.3","5.4","5.3","5.2"
"Dominican Republic","6.1","6.1","6.0","5.8","5.8","5.9","5.7","5.6","5.1","4.7","4.2","4.0","4.4","4.3","4.4","5.0","4.9","4.9"
"Ecuador","8.3","8.3","8.6","8.6","8.6","8.5","7.9","7.1","6.4","5.8","5.9","5.7","5.6","5.6","5.4","4.5","3.7","3.3"
"Egypt","5.3","5.4","5.3","4.7","4.7","4.6","4.4","4.2","4.4","4.5","4.4","4.8","4.9","4.9","5.2","5.5","5.4","4.9"
"El Salvador","7.2","7.7","7.6","7.7","7.7","7.5","8.1","8.2","8.4","7.7","7.6","7.9","8.4","8.5","8.4","8.8","8.8","8.9"
"Equatorial Guinea","3.1","3.2","2.9","2.2","1.9","1.3","1.6","1.8","1.8","1.8","1.6","1.5","1.5","1.7","2.0","2.4","2.3","2.3"
"Eritrea","2.9","2.9","2.9","2.8","2.8","2.9","4.1","3.5","4.4","3.9","4.1","5.3","5.3","5.4","5.7","5.2","4.6","4.5"
"Estonia","6.4","6.5","6.4","6.1","6.0","5.8","5.8","6.3","6.5","5.8","5.0","4.8","5.1","5.2","4.9","4.7","4.8","5.2"
