,"Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$"
"Djibouti","117.2","130.7","146.7","130.6","122.0","131.5","128.2","108.0","109.4","106.2","108.8","104.6","91.1","89.6","103.0","89.7","68.6","70.3"
"Dominica","656.7","576.2","568.4","596.9","549.2","592.9","540.8","556.2","551.5","541.0","487.0","435.3","404.8","383.4","378.9","357.0","355.9","341.6"
"Dominican Republic","985.7","929.4","855.9","782.4","711.8","689.5","642.1","608.4","512.6","474.5","407.1","355.4","349.3","309.0","304.7","349.3","327.3","317.4"
"Ecuador","958.9","937.0","985.9","993.1","946.8","892.1","780.8","652.4","572.2","518.7","490.6","461.2","427.4","397.9","355.5","283.5","228.7","194.1"
"Egypt","613.8","597.9","575.4","489.9","473.7","455.8","450.1","421.7","426.1","419.8","389.2","392.4","368.7","343.7","352.2","359.7","345.6","303.1"
"El Salvador","582.7","602.9","578.7","559.5","543.8","512.0","530.3","508.3","503.7","468.1","449.9","448.3","445.9","425.6","408.1","413.6","405.5","400.0"
"Equatorial Guinea","758.9","824.4","857.7","730.9","636.8","458.9","533.9","600.8","691.4","703.0","526.5","450.1","418.7","570.8","533.8","440.4","361.8","219.7"
"Eritrea","59.3","54.4","48.9","47.7","47.1","47.0","62.7","48.0","59.5","51.8","60.2","76.7","77.0","76.4","79.2","75.2","65.8","59.4"
"Estonia","2153.3","2009.1","1866.4","1770.0","1649.7","1513.6","1426.7","1365.1","1340.1","1302.4","1103.0","917.7","838.4","741.4","635.6","546.9","491.7","485.1"
"Eswatini","600.1","578.9","590.5","609.8","613.2","607.9","620.3","614.0","598.3","611.2","541.8","506.7","442.9","377.7","334.4","274.9","243.1","213.3"
"Ethiopia","66.7","66.9","64.6","60.7","56.0","56.9","52.0","57.5","44.0","38.0","40.4","32.3","26.8","25.1","25.1","24.9","24.9","21.4"
"Fiji","322.8","315.7","323.1","317.1","281.9","271.7","255.0","266.5","267.2","244.6","257.3","250.0","233.2","225.4","190.5","185.8","173.0","196.2"
"Finland","4255.2","4117.2","4095.4","3938.1","3582.8","3779.0","3643.6","3437.2","3356.9","3229.9","2947.5","2746.5","2554.5","2419.8","2217.0","2098.9","1937.3","1826.5"
"France","5011.2","4842.6","4688.6","4655.4","4547.3","4288.6","4218.0","4057.8","3941.5","3711.0","3543.4","3393.3","3135.6","2970.7","2854.9","2876.5","2685.7","2516.2"
"Gabon","499.6","562.3","477.8","446.4","486.2","398.7","406.5","372.4","554.7","410.3","484.2","450.4","433.4","483.6","509.8","472.3","452.6","436.0"
"Gambia","55.8","48.6","51.7","55.6","66.8","97.6","95.2","92.4","89.1","87.8","81.2","75.3","67.0","60.1","54.7","46.1","47.9","44.5"
"Georgia","773.3","799.2","719.2","728.3","670.7","626.3","570.0","584.1","552.3","496.1","413.5","363.3","337.2","295.5","267.2","227.2","192.7","178.5"
"Germany","5922.6","5568.3","5352.0","5186.1","4952.2","4700.6","4579.9","4311.4","4121.4","3857.7","3632.4","3461.6","3268.4","3166.4","3100.1","2968.7","2814.4","2687.0"
"Ghana","146.9","144.6","188.7","165.9","182.5","205.4","215.8","184.7","174.0","152.2","136.7","129.7","197.6","142.4","131.1","125.0","137.5","116.8"
"Greece","2295.3","2257.2","2168.9","2126.9","2188.5","2237.7","2374.4","2691.4","2878.3","2746.1","2478.8","2373.4","2210.0","2075.8","","","",""
"Grenada","721.1","666.7","642.8","600.9","663.3","668.5","696.5","678.2","662.9","677.7","670.7","630.3","577.2","482.4","483.5","478.7","427.0","407.1"
"Guatemala","474.8","478.0","464.2","448.8","448.2","422.9","406.3","404.4","411.9","407.4","402.1","390.5","355.4","349.8","335.4","321.5","314.9","244.0"
