country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Costa Rica,2880,2820,2840,2930,2920,3040,3150,3220,3400,3510,3680,3840,3980,4200,4340,4280,4400,4690,4820,4910,4770,4230,3570,3810,4120,4090,4230,4320,4320,4440,4660,4740,5050,5280,5460,5520,5480,5640,5830,5830,5880,5970,6070,6240,6450,6640,7080,7590,7890,7600,7880,8110,8420,8460,8610,8800,9080,9220,9330
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,1170,1170,1090,1180,1240,1340,1420,1490,1550,1620
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10300,11000,11600,12100,12800,13200,13800,14600,14800,13600,13500,13500,13200,13300,13400,14000,14300,15100,15700
Cuba,,,,,,,,,,,2200,2350,2420,2460,2450,2650,2760,2970,3140,3150,2980,3550,3850,4040,4350,4380,4350,4200,4320,4310,4120,3660,3240,2740,2750,2780,3000,3070,3060,3240,3410,3520,3550,3690,3890,4330,4860,5200,5420,5460,5600,5800,5970,6130,6170,6440,6450,,
Cyprus,,,,,,,,,,,,,,,,,8960,10500,11300,12300,12800,12900,13500,14100,15100,15700,15900,16800,18100,19300,20300,20000,21200,20900,21600,22000,22000,22100,25300,24000,24400,25500,26700,27300,27900,29000,29700,30300,32200,31100,30600,31200,28700,26700,26100,27700,28500,29700,32600
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16100,17200,18000,18800,19200,18000,18300,18600,18700,18600,19000,19900,20400,21300,22000
Denmark,,,,,,,26200,27400,28700,30400,30600,31300,32300,33500,32900,32300,34200,34600,35300,36300,36100,35600,36700,37800,39200,40700,42700,42900,42800,42900,43300,43700,44500,44600,46900,48300,49300,50800,51900,53500,54600,55300,55500,55800,57700,59300,61600,61500,61200,57800,59000,59800,59800,60600,61600,62300,63500,64100,65400
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6830,,,,,,,,
Dominican Republic,1300,1220,1380,1430,1480,1260,1380,1380,1350,1450,1690,1830,2010,2170,2230,2290,2380,2400,2430,2500,2550,2580,2580,2640,2620,2440,2520,2700,2670,2770,2580,2540,2800,2910,2950,3060,3210,3440,3610,3760,3880,3920,4030,3830,3800,4240,4580,4860,5020,5000,5360,5440,5520,5680,6000,6380,6720,6930,7350
Ecuador,2210,2250,2290,2290,2390,2400,2320,2360,2330,2370,2460,2530,2580,2820,3060,3360,3480,3440,3520,3530,3540,3650,3520,3410,3370,3420,3450,3330,3390,3330,3420,3540,3580,3610,3690,3710,3680,3780,3800,3470,3430,3570,3670,3700,3920,4080,4210,4220,4490,4460,4560,4840,5050,5220,5330,5240,5080,5090,5040
Egypt,,,,,,705,722,713,685,697,720,732,739,742,738,779,856,909,950,958,1020,1060,1150,1180,1270,1270,1280,1420,1470,1490,1520,1550,1580,1590,1620,1670,1720,1780,1840,1910,1990,2020,2040,2060,2110,2140,2270,2390,2520,2570,2590,2570,2570,2560,2580,2660,2720,2760,2830
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080,2080,2220,2320,2410,2500,2490,2530,2580,2580,2600,2610,2620,2630,2640,2700,2820,2860,2940,2840,2900,2990,3030,3070,3100,3160,3200,3250,3310
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9890,12500,14100,13800,13800,10100,10500,11200,10900,10600,11000,9980,9100,7860
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,598,731,767,821,892,913,903,846,885,868,804,777,772,742,734,646,658,662,710,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9620,10200,10900,11800,12700,14100,15300,16300,15700,13800,13900,15000,15700,16200,16600,17000,17500,18500,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3540,,,,,,,,
Finland,,,,,,,,,,,18200,18600,19900,21200,21700,22000,22000,21900,22500,24100,25300,25400,25900,26600,27300,28200,29000,29900,31400,32600,32500,30200,28700,28200,29500,30900,32200,34400,36000,37900,40100,41400,42100,42500,44600,45600,47400,49400,49500,45800,47100,47600,46800,46100,46000,46100,47000,48000,48900
France,,,,,,,,,,,,21000,21700,22900,23700,23300,24200,24900,25900,26700,27100,27200,27600,27700,27900,28300,28900,29600,30800,31900,32600,32800,33200,32900,33500,34000,34600,35400,36600,37900,38900,39500,39400,39500,40400,40800,41700,42400,42400,41000,41600,42400,42200,42200,42400,42700,43000,44000,44700
Gabon,,,,,,,,,,,7250,7740,8490,9070,12100,14500,19500,16700,11800,11100,11100,11600,11000,11300,12400,11700,11500,9290,10200,10900,10700,11000,10200,10200,10500,10600,10700,11000,11500,9990,8870,9360,9460,9280,8550,8990,8050,8090,7450,7810,7680,7600,8250,8540,9300,8990,8990,8920,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,795,765,767,795,821,844,748,765,763,728,735,731,744,771
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3140,3400,3720,3830,4030,4070,4090,4270,
Germany,,,,,,,,,,,19800,20400,21100,22100,22200,22200,23400,24200,25000,26000,26300,26400,26300,26800,27800,28500,29100,29400,30600,31600,33000,34200,34600,33900,34400,34700,35000,35500,36000,36700,37700,38200,38000,37700,38800,39200,41000,42200,42500,40700,42400,45100,45100,45200,45800,46400,47100,48100,48800
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,1130,1200,1230,1280,1400,1460,1580,1570,1600,1610,1690,
Greece,6360,7150,7130,7950,8680,9550,10100,10600,11300,12500,13600,14700,16000,17300,16200,17000,17900,18300,19200,19700,19700,19100,18800,18400,18500,18800,18800,18400,19100,19700,19700,20200,20200,19700,20000,20400,20800,21600,22300,22700,23300,24300,25000,26200,27500,27400,28600,29300,29000,27900,26400,23800,23000,22200,22700,22600,22700,23100,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6880,,,,,,,,
Guatemala,1450,1460,1470,1560,1590,1620,1650,1670,1750,1780,1830,1880,1960,2040,2130,2100,2220,2350,2410,2470,2490,2430,2280,2170,2110,2050,1980,2010,2050,2080,2090,2150,2200,2240,2270,2330,2340,2390,2460,2490,2530,2540,2550,2560,2570,2590,2660,2760,2790,2740,2750,2790,2840,2890,2930,3000,3030,3060,3100
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,661,671,641,665,681,708,695,716,738,800,865,883
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,527,521,511,515,525,530,536,534,540,555,591,565,554,576,590,612,616,621
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,3170,3330,3450,3630,3720,3740,3760,3890
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,908,900,901,836,778,674,730,749,754,756,762,758,734,716,705,671,667,680,692,687,699,668,696,707,723,735,732,735,734,735
Honduras,1120,1080,1100,1100,1130,1180,1210,1230,1280,1260,1260,1270,1310,1370,1340,1310,1380,1470,1540,1560,1520,1460,1380,1360,1400,1440,1470,1520,1500,1490,1470,1370,1410,1490,1450,1490,1480,1520,1540,1500,1550,1550,1560,1580,1630,1690,1760,1860,1890,1790,1820,1830,1850,1860,1870,1930,1960,2020,2070
